"Ensemble_ID" "mean_NT" "mean_TR" "mean_TP" "mean_low_tps" "mean_mid_tps" "mean_high_tps"
"ENSG00000000003" 8.35158 65.5246538461538 78.1603930555556 66.0518157894737 81.3176779411765 84.6190921052632
"ENSG00000000005" 0.23216 0.574792307692308 4.7181875 7.46330526315789 1.54257941176471 7.65573684210526
"ENSG00000000419" 55.47006 87.9938307692308 88.6021722222222 80.7235289473684 87.2690617647059 98.8663815789474
"ENSG00000000457" 5.19604 5.38869230769231 5.67127847222222 4.92389473684211 5.54641470588235 6.64210263157895
"ENSG00000000460" 1.15976 4.71666153846154 4.87892361111111 3.86821578947368 4.69022352941176 6.22730526315789
"ENSG00000000938" 5.89476 17.4964076923077 15.3391652777778 22.2893157894737 14.3394838235294 10.1779184210526
"ENSG00000000971" 4.80888 24.1763076923077 19.5690229166667 31.8441526315789 15.9490529411765 13.7717342105263
"ENSG00000001036" 20.71848 62.2398846153846 54.6392416666667 59.7091105263158 54.6056823529412 49.6294263157895
"ENSG00000001084" 21.48772 17.0771692307692 16.7150361111111 16.3862815789474 16.915375 16.6852894736842
"ENSG00000001167" 21.20754 22.9356615384615 22.9896319444444 19.1537105263158 23.2049764705882 26.4402
"ENSG00000001460" 10.86646 3.61040769230769 3.17230555555556 3.79649736842105 3.42820294117647 2.09019210526316
"ENSG00000001461" 95.70478 23.9064538461538 17.2846472222222 22.1522078947368 16.9499014705882 13.0161052631579
"ENSG00000001497" 12.35478 12.7993153846154 14.3638993055556 11.3828315789474 14.1320602941176 17.7598368421053
"ENSG00000001561" 59.04818 21.6626076923077 18.6096243055556 23.3377921052632 19.4713176470588 12.3394789473684
"ENSG00000001617" 3.78538 14.3293538461538 14.0784138888889 11.7614657894737 11.2691705882353 21.4224289473684
"ENSG00000001626" 1.46922 0.410676923076923 0.549720833333333 0.407073684210526 0.514961764705882 0.754568421052632
"ENSG00000001629" 41.17858 55.5870230769231 71.8985986111111 72.2957684210526 75.1197911764706 65.7371894736842
"ENSG00000001630" 5.43614 3.749 4.28861944444444 4.01535789473684 4.09638823529412 4.90587368421053
"ENSG00000001631" 3.14636 4.43193076923077 6.43700625 7.24846315789474 6.34879411764706 5.78340263157895
"ENSG00000002016" 7.62908 9.59556153846154 11.1285194444444 8.66579736842105 11.2476205882353 13.3781131578947
"ENSG00000002330" 25.662 28.5504 38.9824743055556 32.9025526315789 40.9932779411765 41.4641157894737
"ENSG00000002549" 56.57952 157.912776923077 169.299084722222 169.309860526316 171.878725 164.672110526316
"ENSG00000002586" 48.00564 461.602761538462 495.89446875 513.347692105263 513.660572058824 446.649271052632
"ENSG00000002586_PAR_Y" 0 0 0 0 0 0
"ENSG00000002587" 4.3664 9.09832307692308 11.86235625 9.60866052631579 11.5173191176471 14.7334868421053
"ENSG00000002726" 0.03284 0.248884615384615 0.193292361111111 0.176363157894737 0.195472058823529 0.206321052631579
"ENSG00000002745" 1.63416 1.04302307692308 2.71912291666667 1.85085 2.79703382352941 3.44797631578947
"ENSG00000002746" 15.02506 2.02806153846154 1.14585347222222 1.03159210526316 1.07343676470588 1.38970263157895
"ENSG00000002822" 0.25142 0.360138461538462 0.237644444444444 0.270915789473684 0.232675 0.213265789473684
"ENSG00000002834" 66.30698 88.4592153846154 86.2787819444444 78.5707342105263 88.2614882352941 90.4388289473684
"ENSG00000002919" 22.35736 32.0572923076923 34.8969243055556 31.9574973684211 36.3021147058824 35.3218
"ENSG00000002933" 16.27098 72.3453384615385 77.05634375 90.4321315789474 79.5892294117647 59.1480236842105
"ENSG00000003056" 45.14062 68.7957692307692 62.5426020833333 67.98455 60.8464 60.1359631578947
"ENSG00000003096" 4.75388 12.8946076923077 14.0790659722222 10.2356 13.5718352941176 18.8302078947368
"ENSG00000003137" 35.9099 6.53169230769231 3.77497291666667 3.60317368421053 2.80891323529412 5.67551052631579
"ENSG00000003147" 19.87246 6.03795384615385 7.78426111111111 6.94599736842105 6.95466323529412 10.1070684210526
"ENSG00000003249" 47.19862 30.9121923076923 37.9785895833333 37.9628763157895 38.2635220588235 37.4844236842105
"ENSG00000003393" 18.56324 13.0205230769231 12.7832041666667 11.0674526315789 12.5923220588235 14.8405342105263
"ENSG00000003400" 1.93876 4.38412307692308 4.00486527777778 5.05093157894737 4.03746176470588 2.90046842105263
"ENSG00000003402" 7.34514 10.7294153846154 9.22906805555556 10.0367263157895 9.00488676470588 8.82257631578947
"ENSG00000003436" 0.55536 10.0656307692308 12.2702104166667 15.4406657894737 10.087925 13.0048973684211
"ENSG00000003509" 11.9749 10.7284769230769 11.9383111111111 11.0718 11.0047661764706 14.4753763157895
"ENSG00000003756" 25.35428 23.6392461538462 28.9728833333333 22.9452578947368 27.1855367647059 38.1989184210526
"ENSG00000003987" 14.17128 2.21498461538462 1.66252222222222 1.86091842105263 1.55402058823529 1.65828684210526
"ENSG00000003989" 12.43952 9.59316923076923 8.72063958333333 9.2148947368421 7.71506323529412 10.0258368421053
"ENSG00000004059" 184.47276 199.745530769231 262.42771875 233.1848 267.325679411765 282.905865789474
"ENSG00000004139" 3.5368 4.55132307692308 4.93967777777778 3.29481842105263 4.88443823529412 6.68338684210526
"ENSG00000004142" 134.03314 155.049192307692 178.250142361111 153.084939473684 181.867175 196.942760526316
"ENSG00000004399" 42.7468 87.9431769230769 56.0115972222222 68.5009447368421 55.8823235294118 43.7535815789474
"ENSG00000004455" 13.28622 48.5041692307692 51.73935 51.1702184210526 50.7323838235294 54.1104210526316
